,title,company,salary,description
0,Flutter Developer,UP DEVLABS SDN BHD,"RM 4,000 - RM 4,999 a month",Job Description: • Design and develop state of the art highly interactive and rich animation experience for mobile using Flutter.
1,Junior Flutter Developer,ADVISORY APPS SDN BHD,"RM 4,000 - RM 4,999 a month","Test and resolve bug issues.
Ensure app works across multiple devices.
Collaborate with cross-functional teams to define, design and ship new features."
2,Flutter/Dart App Developer ( all levels),Ukuya Sdn Bhd,"RM 2,500 - RM 2,999 a month","Candidates will be responsible for the development through business, engineering, and scientific problems using well-defined methods, procedures, and programs…"
3,Flutter Developer,Brandt International Sdn Bhd,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
4,Flutter Mobile App Developer,Applify Technologies Sdn Bhd,"RM 3,500 - RM 4,900 a month","Develop flutter application using Dart (Required).
Architect, design, develop, and maintain Flutter applications.
Integrate various APIs from third parties."
5,Flutter Mobile App Developer,Ultranet Technologies Sdn Bhd,"RM 3,500 - RM 4,900 a month","Develop flutter application using Dart (Required).
Integrate mobile applications with backend RESTful services.
Work with outside data sources and APIs."
6,Site Reliability Engineer,BIGPAY MALAYSIA SDN BHD,"RM 10,000 - RM 12,999 a month","When incidents occur, you will be on the front line of investigation and remediation and direct action from our backend, devops and other teams."
7,Internship for Mobile App Developer (Flutter),GTrade Technology Sdn Bhd,,"Design and develop state of the art highly interactive and rich animation experience for mobile using Flutter.
Job Types: Full-time, Internship."
8,Flutter Developer,Snappymob,"RM 5,500 - RM 7,500 a month","Architect, design, develop, and maintain Flutter applications.
Collaborate with the engineering team at large in software design sessions, code reviews,…"
9,Flutter Engineer,Bjak Sdn Bhd,"RM 4,000 - RM 12,000 a month","Bjak is focused on providing access to affordable and sustainable financial services for people in ASEAN.
Incorporate user feedback to improve software design…"
10,Mobile Developer,Unijaya Resources Sdn. Bhd.,"RM 2,500 - RM 2,999 a month","Required Skill(s): Ionic, flutter, PHP, Laravel, Angular JS, Vue JS, React Preferably Junior Executive specialized in IT/Computer - Software or equivalent."
11,IT Intern,BestWeb Technologies Sdn Bhd,,"Support the Operation team in maintaining support ticketing system.
Assist with troubleshooting issues and provide technical support."
12,Junior Software Engineer,Auronex Sdn Bhd,"RM 3,000 - RM 3,499 a month",How old are you -What languages you code at the moment -How many years of working experience Our Tech Stacks: -NodeJS (ExpressJS) / Python(DJango) / Go /…
13,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
14,Flutter Developer,EPS Malaysia,,"Design and develop high-volume, low-latency applications for mission-critical systems, delivering high-availability and performance."
15,Flutter Mobile Engineer,ALPHAPOD SDN BHD,,"Build new features by working closely with product managers and designers.
Integrate apps with backend systems and APIs."
16,Mobile Application Developer ( Flutter),E-INFOMEDIA SOLUTIONS SDN BHD,"RM 6,000 - RM 7,999 a month","Work in cross-functional teams with project managers, designers and business stakeholders to ship mobile application on-quality and on-time."
17,Flutter Developer,EPS Malaysia,,"Design and develop high-volume, low-latency applications for mission-critical systems, delivering high-availability and performance."
18,Frontend Developer,Esyms Sdn. Bhd.,"RM 6,000 - RM 7,999 a month","Build reusable code and libraries for various projects.
Collaborate with other developers, designers, and architects to meet application requirements and…"
19,Mobile Application Developer (Flutter),GME Technical Services Sdn Bhd,"RM 3,000 - RM 5,000 a month","Participate in deployment of system including user requirement scoping, design, coding, testing and implementation.
Maintain and support the existing system."
20,Junior Software Engineer,EBOSS INNOVATION SDN BHD,"RM 2,500 - RM 3,800 a month","A diploma or bachelor’s degree in Software Engineering, Computer Science or equivalent.
Sufficient understanding of HTML/CSS, Javascript, Flutter, C#, SQL…"
21,IT Support,Lapasar.com,"RM 2,000 - RM 4,000 a month","To perform enhancement and defect fixing at the code level.
To work closely with internal and external users to understand their needs & issues."
22,Back End Developer,Tele-Temps Sdn Bhd,"RM 3,000 - RM 3,499 a month","Skills Requirements Compulsory skills: PHP (At least completed 3 projects and above), Laravel Framework, GIT, HTML, HTML5, CSS3, JavaScript, MYSQL."
