,title,company,location,salary,description
0,Flutter Developer - 183,ICREST SDN BHD,Petaling Jaya,"RM 8,000 - RM 9,999 a month","Build & maintain mobile application in Flutter.
Design & provide recommendations on coding design & client side architecture."
1,INTERN DEVELOPMENT COMPUTER SCIENCE,Mysuri Biz Technologies Sdn Bhd,Cyberjaya,"RM 1,200 a month","JOB DESCRIPTION Stack : HTML CSS JavaScript jQuery, Understands Repository design Pattern, Able to write fully-functional API codes, Good to have basic…"
2,Internship 2022 - IT/Computer Science/Software Engineering,GNey Software Sdn Bhd,Masai,,View all GNey Software Sdn Bhd jobs - Masai jobsSalary Search: Internship 2022 - IT/Computer Science/Software Engineering salaries
3,Intern Software Developer,AR MECHATRONICS PLT,Johor Bahru,,Diploma / Advanced Diploma / Higher Graduate Diploma / DVM / DKM Level 4 / DLKM Level 5.
4,Junior Full Stack Developer I WFH & Office-Hybrid,AGTIV Consulting Sdn Bhd,Kuala Lumpur•Remote,"RM 3,000 - RM 3,499 a month","Our projects are with some of the largest banks, insurance, oil & gas as well as pharmaceutical companies in Malaysia, Singapore, India, France, and beyond."
5,Mobile Engineer - Flutter,Glints Malaysia,Kuala Lumpur,,"Lead and develop product features, and eventually epics, with the mobile engineering team.
Work collaboratively with product manager and product designers to…"
6,IT Application Developer,DreamHunters,Kuala Lumpur•Remote,"RM 800 - RM 1,300 a month","Familiar with Flutter and Laravel.
Diploma/Bachelor’s Degree in I.T. or similar field of study.
Familiar with Flutter and Laravel."
7,Flutter Developer,4X Software Sdn Bhd,Cyberjaya,,"Your role As a Flutter Developer at Deriv, you will be responsible for designing and developing applications for iOS and Android platforms while working closely…"
8,Junior/Senior Software Tester,vimigo,Kuala Lumpur•Temporarily Remote,"RM 3,000 - RM 6,000 a month","As a Unit Software Tester, you will play an instrumental role in fueling Company’s growth through providing timely solutions to execute all levels of testing …"
9,Flutter Developer,AR MECHATRONICS PLT,Johor Bahru,,"������ ������������������������ • Design, code and deploy cross platform mobile application using Flutter • Develop app updates following requirements, bug…"
10,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,Shah Alam•Remote,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
11,Software Developer,EV-Dynamic Sdn Bhd,Putra Heights,"RM 2,700 - RM 4,000 a month","Troubleshooting, debugging, and fixing errors, improve the performance or upgrade interfaces.
Responsible to produce clean and efficient code based on…"
12,Full Stack Developer,Fortis Star Sdn Bhd,Kuala Lumpur,,Passion to build seamless web experiences and high-performing software Eager to learn new technologies to develop and innovate better software Keen to impart…
13,Flutter Developer,Snappymob,Kuala Lumpur,,"As part of the team, you’ll be collaborating with other engineers and team members on creating delightful, mission-critical software applications that our…"
14,Flutter Developr,Agensi Pekerjaan EPS Consultants Sdn Bhd,Kuala Lumpur,"RM 4,000 a month","Focusing on the on developing business application in web technology, such as Website designing, customization, graphic design, web promotion, IT consultancy."
15,Flutter Developer,Snappymob,Kuala Lumpur,,"As part of the team, you’ll be collaborating with other engineers and team members on creating delightful, mission-critical software applications that our…"
16,Junior Web Developer,Bravo Net Solution,Petaling Jaya,"RM 2,500 - RM 2,999 a month","Optional skills: Flutter, Vuejs, Linux Command, & MongoDB, Android Kotlin, iOS Swift, server/code speed optimisation, basic code & server security."
