,title,company,location,salary,description
0,Mobile Developer - Flutter dev,Serena Emery IT Solutions Sdn Bhd,Cyberjaya,"RM 3,500 - RM 3,999 a month","We are looking for a skilled mobile developer with prior developing experience to create and maintain mobile applications for Andriod, iOS, and Windows devices."
1,Flutter Mobile Engineer,Techtiera,Kuala Lumpur,"RM 2,977 - RM 10,358 a month","Build new and key features for Setel on our Flutter codebase by working closely with the Product Managers, design teams and backend team."
2,Flutter Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
3,Mobile App Developer,QuickDesk,Malaysia,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
4,Internship 2022 - IT/Computer Science/Software Engineering,GNey Software Sdn Bhd,Masai,,View all GNey Software Sdn Bhd jobs - Masai jobsSalary Search: Internship 2022 - IT/Computer Science/Software Engineering salaries
5,Flutter App Developer,WOBB,Puchong,,"Mobile app developers implement applications software for mobile devices, based on the designs provided, using general or specific development tools for device…"
6,Mobile Developer (Flutter),Hays,Malaysia,,"You will be working with a team to develop and maintain high quality mobile applications.
You will design, develop, and improvise mobile applications using…"
7,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,Shah Alam•Remote,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
8,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,Kuala Lumpur,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
9,Junior/Senior Programmer,BCDE Digital,Cheras,"RM 5,000 - RM 12,000 a month","Developing and managing well-functioning databases and applications.
Developing front-end website architecture with appealing visual design."
10,Senior Mobile App Engineer,Skymind Global,George Town,,"Participate in design and developing of mobile user interface in collaboration with UI/UX team and backend team, taking new initiatives, grow technical insight…"
11,Front-End Developer,AGENSI PEKERJAAN EMCO EXECUTIVES SDN BHD,Kuala Lumpur,"RM 8,000 - RM 9,999 a month","Design, build and maintain high performance, reusable, responsive and reliable code and libraries.
Enhance application for maximum speed and scalability for…"
12,Junior/Senior Software Tester,vimigo,Kuala Lumpur•Temporarily Remote,"RM 3,000 - RM 6,000 a month","As a Unit Software Tester, you will play an instrumental role in fueling Company’s growth through providing timely solutions to execute all levels of testing …"
13,Programmer,TBS Solutions Sdn Bhd,Penang,"RM 2,500 - RM 5,000 a month","At least 2 year(s) experiences in WEB or Mobile APPS (either iOS or Android) development.
Candidate must possess at least a Bachelor's Degree, Post Graduate…"
14,Software Developer,Pingspace Sdn. Bhd.,Bayan Lepas•Temporarily Remote,"RM 3,500 a month","Our Software Developers work on a range of problems: from the backend (designing database, designing operation optimization algorithms, designing communication…"
15,Mobile Apps Developer (IOS/ Android/ Flutter),IY Staffing Group,Klang,"RM 3,000 - RM 5,000 a month","This is a full time permanent position.
Medical Claims, Medical Insurance, Medical Leaves, Annual Leaves, Monthly Allowances, Annual Bonus, Company Trips and…"
16,Flutter Developer (Work From Home – Preferably Cantonese/Man...,Unicorn Creative Limited,Kuala Lumpur•Remote,,"Candidate must possess at least Diploma in Computer Engineer, IT or equivalent;
At least one year experience in Flutter Development for both iOS and Android;"
17,Flutter Developer,Hays,Malaysia,"RM 8,000 a month","In this team, you will be working closely with the developers, Project Managers, Solution Architect and other members of the project team."
18,Account Executive (Digital Media Project),Nuren Group,Malaysia,,"You will play the account management role in handling our advertiser's digital media projects & campaigns.
You are responsible for managing the flow of work for…"
19,IT Application Developer,DreamHunters,Kuala Lumpur•Remote,"RM 800 - RM 1,300 a month","Familiar with Flutter and Laravel.
Diploma/Bachelor’s Degree in I.T. or similar field of study.
Familiar with Flutter and Laravel."
20,Full Stack Developer,SK EDUCATION SDN. BHD.,Bukit Mertajam,"RM 3,000 - RM 3,499 a month","You’ll be part of a functional team that’s responsible for the full software development life cycle, from conception, deployment up to maintenance."
21,Mobile Engineer,BIGPAY MALAYSIA SDN BHD,Kuala Lumpur,,"Reporting to one of our mobile development leads, you will be responsible for writing and maintaining our mobile applications by: • Working closely in a cross…"
22,Software Developer,EV-Dynamic Sdn Bhd,Putra Heights,"RM 2,311 - RM 4,000 a month","Troubleshooting, debugging, and fixing errors, improve the performance or upgrade interfaces.
Responsible to produce clean and efficient code based on…"
23,Junior/Senior Backend Developer,vimigo,Kuala Lumpur•Temporarily Remote,"RM 3,000 - RM 7,000 a month","We are looking for experienced talents in the area of web platforms, web architectures, coding standard, databases, AI technology and mobile apps."
24,Software Developer,WELORY INNOVATION SDN BHD,Kota Damansara•Remote,"RM 2,500 - RM 3,500 a month","Develop, enhance and test customised software and mobile apps to meet the requirements.
Participates in the entire software development cycle."
25,Android Developer 1,Sicpa,Malaysia,,"Work on defining and implementing nextWork on defining and implementing next-generation, innovative architecture for Android mobile application."
26,IT Support Engineer,Ninja Van,Shah Alam,,"Maintain and proactively improve the IT infrastructure of the company to avoid disruptions to operations.
Support and administer third party software and SaaS…"
27,3D/Web GL Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 7,000 a month","Design to scale from phones to tablets to desktop monitors.
Create AI-powered interactive 3D assets using WebGL, three.js or new web 3d framework/library."
28,Developer Computer Science Intern (6 months),Mysuri Biz Technologies Sdn Bhd,Cyberjaya,"RM 1,200 a week","Stack : HTML CSS JavaScript jQuery - Good to have basic knowledge in back-end framework like laravel / nodejs, but not compulsory - Fresh grad is encouraged to…"
29,Mobile App Developer,Marvel Media Sdn Bhd,Jelutong,,"Take ownership of the entire application lifecycle (concept, design, test, release and support).
Continuously research, evaluate and adapt new mobile…"
30,Mobile App Engineer,Agensi Pekerjaan EPS Consultants Sdn Bhd,Penang,,"Participate in design and developing of mobile user interface.
Liaison and collaborate with Technical Architect for front-end architecture."
31,Software Developer,MAXUNITY TECHNOLOGY SDN BHD,Puchong,"RM 3,000 - RM 5,000 a month","Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Engineering (Computer…"
32,"Software Engineer, Frontend",Yara,Kuala Lumpur,,"Smallholder regions are characterized by low living standards, high rates of illiteracy and low agricultural productivity."
33,Senior Frontend Developer,vimigo Technologies,Kuala Lumpur•Temporarily Remote,"RM 4,000 - RM 8,000 a month","We are looking for experienced talents in the area of web platforms, web architectures, coding standards, databases, AI technology and mobile apps."
34,Junior Software Engineer,RedSquare Technologies Sdn Bhd,Kuala Lumpur•Remote,"RM 3,500 - RM 5,001 a month","Mobile applications: Java, Kotlin, Swift, JavaScript (React Native), Dart (Flutter).
Degree in Computer Science or Information Technology or any similar…"
35,Flutter Developer,GetEat,Klang,"RM 5,000 - RM 9,000 a month","You will interact with talented stakeholders and learn cutting-edge technologies.
Publishing apps on to App Store.
Publishing apps on to Google Play."
36,Python Developer,Coreil Consulting,Kuala Lumpur,"RM 2,800 - RM 3,000 a month","It is also better if the candidate had experience in both web and mobile development.*.
As a developer, you will be responsible for designing and develop Python…"
37,Software Engineer,FEEDME POS SDN BHD,Johor Bahru,"RM 4,000 - RM 4,999 a month","Join our young and innovative product team and start to deliver high-quality software to South East Asia.
Our Perks: EPF, SOCSO, EIS Various allowance Annual…"
38,System Analyst / Analyst Programmer,Subur Tiasa Holdings Berhad,Sibu,,"Job Responsibility:To play a proactive role in deriving system solutions to any given business requirement or problem To design, develop, integrate, test,…"
39,Mobile Developer,PRO OFFICE TECHNOLOGY SDN BHD,Puchong,"RM 2,500 - RM 2,999 a month",We are looking for a Dart/Flutter Developer responsible for creating multi-platform apps for iOS and Android using Google’s Flutter development framework.
40,Software Developer (PHP),Nuren Group,Malaysia,,"Work in a team of full stack developers and UI/UX designers.
Develop robust, reliable & high traffic internet application (back-end, front-end, mobile)."
41,Software Engineer,Motorola Solutions,Penang,,And in everyday moments — when a package arrives just in time for the holiday or when a child doesn’t miss the school bus home.
42,UI/UX Designer + Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 7,000 a month","Design to scale from phones to tablets to desktop monitors.
Create wireframes, mockups and prototypes for our analytic product."
43,Mobile Engineer - Flutter (Remote possible),Glints,Kuala Lumpur•Remote,,"Glints engineers are product-driven, with the customers as the starting point.
We also invest in good developer experience, and set aside time to manage…"
44,Mobile Application Developer,Innovatz Solutions Sdn. Bhd,Subang Jaya,"RM 10,765 - RM 12,500 a month","Develop mobile applications using React Native framework/Expo.
Participate in the entire product’s lifecycle (analyze, develop, test, release, support)."
45,Mobile Application Developer,Innovatz Solutions Private Limited,Kuala Lumpur,,"Diploma/Degree in Information & Technology(IT), Software Engineering, Computer Science or a related field or equivalent practical experience."
46,Software .NET Developer,Webmax Technologies Sdn Bhd,Batu Caves•Temporarily Remote,"RM 5,000 - RM 8,000 a month","Participate in system requirements gathering session with business and system analysts.
Web and Mobile application development, coding, design & architecture."
47,Software Developer (Android),JP CALIBER SDN BHD,Kuala Lumpur,,"Design and build advanced applications for the Android platform.
Collaborate with cross-functional teams to define, design, and ship new features."
48,Junior/Senior Software Engineer (软件工程师),DD Online Services & Enterprise,Johor Bahru,"RM 3,000 - RM 10,000 a month","Accommodation provided for non-Johorian.
Travel leaves with air ticket allowance.
Annual leave and sick leave.
Develop and deliver features in a timely matter."
